fecha,monto,referencia
08/02/2017,244.43,26946
13/09/2018,4940.65,79649
22/11/2016,3394.49,77444
28/06/2013,4463.24,56639
16/03/2019,3846.53,46737
17/03/2016,2945.35,92687
05/04/2019,2115.84,44984
26/04/2019,568.33,91257
17/03/2018,2528.46,75849
16/11/2014,4745.07,20113
26/01/2023,2936.69,16665
01/08/2018,1853.22,45649
27/11/2017,1268.45,89024
26/04/2023,3774.05,22456
07/09/2015,2910.68,34385
24/07/2022,2389.59,50305
25/07/2013,1363.77,28343
27/03/2019,732.07,25278
25/09/2015,693.15,32679
21/12/2018,846.83,30804
18/05/2014,988.63,32815
30/11/2022,509.75,26226
27/11/2020,2188.14,32836
20/10/2011,3509.6,30859
16/09/2011,2852.21,36660
01/09/2016,295.27,84556
08/06/2021,4428.91,19933
19/08/2020,4671.29,37722
13/07/2019,2981.08,56508
28/06/2014,3712.27,76655
10/03/2015,3603.34,48384
25/01/2020,3507.87,24886
23/01/2025,731.88,29260
28/02/2020,1650.51,36197
05/12/2022,4276.18,13551
11/03/2017,786.82,76052
17/09/2020,706.92,74652
15/04/2024,1084.7,66282
27/12/2024,3127.86,74688
18/03/2012,577.2,22555
17/04/2020,2844.61,24903
09/02/2014,2018.24,20285
17/09/2019,365.23,61458
30/05/2013,2417.64,87164
31/07/2023,4079.4,30984
22/08/2016,1295.07,88391
25/05/2012,1178.53,56834
24/12/2015,1185.83,25219
21/03/2018,4529.08,57157
22/04/2019,1558.49,91076
25/08/2021,2966.91,94345
24/01/2018,4123.86,60319
29/10/2015,2816.56,76658
19/11/2017,535.12,27027
21/09/2018,4363.53,67937
29/07/2022,538.08,26149
28/03/2017,1000.01,75809
12/08/2022,4207.58,72623
23/12/2012,2255.48,51820
29/11/2019,4328.03,13299
04/03/2019,810.57,33684
27/04/2025,328.42,15242
23/11/2023,1547.38,79919
30/12/2014,472.1,92800
24/04/2015,2685.78,80625
12/08/2017,410.14,16871
24/04/2023,4588.93,27144
31/03/2022,2559.5,26190
29/10/2023,868.97,44489
21/04/2023,1112.07,23071
03/06/2020,2019.43,61842
15/02/2023,2447.62,90434
02/10/2018,3389.53,19810
10/12/2024,4170.81,22368
30/04/2017,3335.69,93155
12/11/2023,3816.6,51678
20/04/2015,361.73,84606
09/12/2020,2695.9,11741
05/09/2017,3375.2,29482
11/09/2019,821.99,62109
15/11/2024,2605.84,25288
13/02/2024,4311.67,33977
29/07/2012,1515.91,66474
18/03/2016,3667.48,38565
06/10/2022,827.58,44503
04/10/2011,815.29,88799
27/08/2020,1167.19,52935
06/10/2012,3480.22,35676
18/04/2025,4092.73,42135
16/02/2019,4068.4,71533
23/06/2023,4675.24,98929
12/02/2020,1528.51,22285
18/02/2012,1221.15,12900
02/03/2018,3481.41,95435
21/07/2016,2352.62,23238
15/04/2012,2051.67,96632
17/03/2025,4395.52,93624
22/12/2013,3221.26,53451
09/10/2016,1252.66,22163
29/05/2021,2907.65,86184
17/11/2020,3859.72,46964
16/07/2013,341.23,88343
12/12/2024,4732.81,12160
05/06/2013,4482.03,56530
31/03/2024,3514.98,83071
27/11/2016,3241.97,35539
23/11/2014,2353.69,91732
20/04/2020,1243.44,70394
08/05/2017,4957.84,64428
13/06/2014,4786.73,46691
09/11/2017,3180.19,85141
20/07/2016,1241.36,54649
29/09/2018,1633.64,60518
16/09/2013,293.26,51403
10/06/2012,2794.69,12573
08/01/2021,767.36,46259
16/02/2019,528.57,66433
28/11/2023,4364.57,87119
24/03/2018,520.82,74810
13/10/2012,640.11,53441
05/01/2015,2170.53,50451
02/04/2023,1302.82,33854
06/11/2017,4379.49,15184
04/01/2025,2680.85,98541
17/09/2011,2108.11,36551
18/06/2014,4085.74,10353
31/01/2021,3456.38,17115
11/06/2017,4489.39,93409
21/03/2022,576.31,42294
13/01/2012,269.06,78611
30/06/2021,771.1,57013
11/04/2016,4876.16,31264
28/09/2020,2419.96,87588
24/04/2019,4608.4,97127
24/10/2014,3826.39,95618
22/05/2021,4634.13,46707
12/02/2013,3293.03,63027
22/12/2014,221.18,56328
08/06/2024,3754.43,63799
12/08/2021,2651.94,68807
07/09/2021,676.85,67123
28/09/2021,1091.54,54496
09/11/2017,1492.89,99188
09/03/2024,2757.61,41551
05/06/2022,4078.11,34233
14/11/2014,521.77,93766
21/06/2019,1520.69,80338
15/08/2012,4590.56,82061
09/04/2016,1554.02,61004
16/12/2014,3356.17,53190
25/07/2012,1395.85,45404
15/09/2021,2482.89,72832
10/01/2017,4419.93,70825
31/05/2019,4147.72,53832
24/10/2023,2762.8,42199
11/02/2014,4182.2,80297
02/01/2012,2021.08,16395
26/12/2023,4891.16,30610
16/01/2022,2776.57,92789
19/10/2011,3906.49,25958
29/08/2016,4253.56,61251
01/02/2024,2092.35,80596
26/08/2024,3168.34,42262
02/06/2018,1344.84,75727
25/05/2019,4780.42,54331
16/06/2016,691.15,62163
14/05/2021,1873.53,91964
15/04/2025,1715.14,99994
12/04/2022,3242.16,25569
12/10/2015,2440.31,52161
02/07/2018,3352.14,49678
18/10/2011,4220.86,32738
27/08/2011,4321.04,77931
27/02/2017,2180.44,67415
09/03/2024,4469.99,84761
18/03/2024,208.07,82335
11/02/2025,2062.52,89893
22/08/2014,2878.11,15932
08/07/2020,2423.8,45955
21/04/2019,3129.62,30448
03/04/2014,531.6,84797
21/03/2016,3014.08,12959
15/06/2017,3489.13,13855
20/09/2017,4519.46,55441
28/10/2017,4605.86,30350
12/02/2021,4352.81,43374
16/03/2018,2011.33,66814
03/04/2023,4875.24,53309
13/05/2020,1747.29,88051
27/10/2012,2948.44,29257
20/12/2022,4808.02,99498
02/05/2023,2224.05,12601
21/09/2024,4936.51,12767
16/08/2016,1958.32,55896
11/03/2013,3823.27,60815
03/09/2021,1987.8,11462
12/09/2023,1734.77,51958
22/08/2019,2741.56,17716
28/06/2013,318.38,85318
30/09/2024,4424.75,19108
02/02/2015,2901.22,16160
03/08/2019,4437.69,85137
07/11/2014,3768.96,83733
31/07/2013,4517.51,29825
27/01/2014,119.4,79257
20/09/2011,418.48,12771
21/12/2021,3849.01,42680
18/02/2015,4539.78,11043
12/05/2023,2711.12,74990
28/01/2021,992.41,33639
24/04/2020,1792.68,78057
31/10/2021,4629.43,63104
04/07/2017,184.81,18482
25/04/2015,1607.94,79457
19/03/2021,1132.74,49117
25/04/2024,819.22,71213
15/07/2022,3910.16,59158
02/08/2018,143.28,29301
17/05/2019,3750.86,90247
16/06/2019,1414.21,90149
19/07/2021,1990.63,65881
22/11/2012,992.97,13093
21/09/2011,469.53,19994
02/06/2015,4635.59,31789
29/08/2022,1277.93,18810
09/04/2018,4901.59,86206
21/03/2012,1074.16,36539
19/10/2011,425.83,63354
11/01/2021,1137.35,96065
12/03/2023,3889.73,79756
16/08/2019,4263.55,45974
18/03/2014,3238.02,61902
18/12/2017,1642.99,90622
20/11/2024,214.28,36264
13/04/2024,2217.82,85833
09/10/2022,666.37,83130
23/07/2016,3514.96,60153
11/06/2021,1087.16,83502
17/12/2017,3307.91,57076
28/01/2016,4813.38,80378
21/05/2018,152.79,80064
26/12/2019,3407.11,22802
29/05/2021,4031.43,53629
16/12/2011,522.56,36701
27/05/2015,4916.49,45492
30/04/2015,340.24,11337
07/03/2021,3317.3,29709
01/10/2021,3900.95,83531
25/11/2012,4348.65,66841
24/11/2016,3976.89,19890
02/02/2017,3627.41,28318
05/12/2023,257.43,92430
09/04/2013,4471.99,68765
03/12/2015,1352.28,73157
06/11/2022,2774.38,42006
19/12/2017,3150.59,16844
11/03/2015,621.97,59409
