fecha,monto,referencia
2017-02-08,244.43,26946
2018-09-13,4940.65,79649
2016-11-22,3394.49,77444
2013-06-28,4463.24,56639
2019-03-16,3846.53,46737
2016-03-17,2945.35,92687
2019-04-05,2115.84,44984
2019-04-26,568.33,91257
2018-03-17,2528.46,75849
2014-11-16,4745.07,20113
2023-01-26,2936.69,16665
2018-08-01,1853.22,45649
2017-11-27,1268.45,89024
2023-04-26,3774.05,22456
2015-09-07,2910.68,34385
2022-07-24,2389.59,50305
2013-07-25,1363.77,28343
2019-03-27,732.07,25278
2015-09-25,693.15,32679
2018-12-21,846.83,30804
2014-05-18,988.63,32815
2022-11-30,509.75,26226
2020-11-27,2188.14,32836
2011-10-20,3509.6,30859
2011-09-16,2852.21,36660
2016-09-01,295.27,84556
2021-06-08,4428.91,19933
2020-08-19,4671.29,37722
2019-07-13,2981.08,56508
2014-06-28,3712.27,76655
2015-03-10,3603.34,48384
2020-01-25,3507.87,24886
2025-01-23,731.88,29260
2020-02-28,1650.51,36197
2022-12-05,4276.18,13551
2017-03-11,786.82,76052
2020-09-17,706.92,74652
2024-04-15,1084.7,66282
2024-12-27,3127.86,74688
2012-03-18,577.2,22555
2020-04-17,2844.61,24903
2014-02-09,2018.24,20285
2019-09-17,365.23,61458
2013-05-30,2417.64,87164
2023-07-31,4079.4,30984
2016-08-22,1295.07,88391
2012-05-25,1178.53,56834
2015-12-24,1185.83,25219
2018-03-21,4529.08,57157
2019-04-22,1558.49,91076
2021-08-25,2966.91,94345
2018-01-24,4123.86,60319
2015-10-29,2816.56,76658
2017-11-19,535.12,27027
2018-09-21,4363.53,67937
2022-07-29,538.08,26149
2017-03-28,1000.01,75809
2022-08-12,4207.58,72623
2012-12-23,2255.48,51820
2019-11-29,4328.03,13299
2019-03-04,810.57,33684
2025-04-27,328.42,15242
2023-11-23,1547.38,79919
2014-12-30,472.1,92800
2015-04-24,2685.78,80625
2017-08-12,410.14,16871
2023-04-24,4588.93,27144
2022-03-31,2559.5,26190
2023-10-29,868.97,44489
2023-04-21,1112.07,23071
2020-06-03,2019.43,61842
2023-02-15,2447.62,90434
2018-10-02,3389.53,19810
2024-12-10,4170.81,22368
2017-04-30,3335.69,93155
2023-11-12,3816.6,51678
2015-04-20,361.73,84606
2020-12-09,2695.9,11741
2017-09-05,3375.2,29482
2019-09-11,821.99,62109
2024-11-15,2605.84,25288
2024-02-13,4311.67,33977
2012-07-29,1515.91,66474
2016-03-18,3667.48,38565
2022-10-06,827.58,44503
2011-10-04,815.29,88799
2020-08-27,1167.19,52935
2012-10-06,3480.22,35676
2025-04-18,4092.73,42135
2019-02-16,4068.4,71533
2023-06-23,4675.24,98929
2020-02-12,1528.51,22285
2012-02-18,1221.15,12900
2018-03-02,3481.41,95435
2016-07-21,2352.62,23238
2012-04-15,2051.67,96632
2025-03-17,4395.52,93624
2013-12-22,3221.26,53451
2016-10-09,1252.66,22163
2021-05-29,2907.65,86184
2020-11-17,3859.72,46964
2013-07-16,341.23,88343
2024-12-12,4732.81,12160
2013-06-05,4482.03,56530
2024-03-31,3514.98,83071
2016-11-27,3241.97,35539
2014-11-23,2353.69,91732
2020-04-20,1243.44,70394
2017-05-08,4957.84,64428
2014-06-13,4786.73,46691
2017-11-09,3180.19,85141
2016-07-20,1241.36,54649
2018-09-29,1633.64,60518
2013-09-16,293.26,51403
2012-06-10,2794.69,12573
2021-01-08,767.36,46259
2019-02-16,528.57,66433
2023-11-28,4364.57,87119
2018-03-24,520.82,74810
2012-10-13,640.11,53441
2015-01-05,2170.53,50451
2023-04-02,1302.82,33854
2017-11-06,4379.49,15184
2025-01-04,2680.85,98541
2011-09-17,2108.11,36551
2014-06-18,4085.74,10353
2021-01-31,3456.38,17115
2017-06-11,4489.39,93409
2022-03-21,576.31,42294
2012-01-13,269.06,78611
2021-06-30,771.1,57013
2016-04-11,4876.16,31264
2020-09-28,2419.96,87588
2019-04-24,4608.4,97127
2014-10-24,3826.39,95618
2021-05-22,4634.13,46707
2013-02-12,3293.03,63027
2014-12-22,221.18,56328
2024-06-08,3754.43,63799
2021-08-12,2651.94,68807
2021-09-07,676.85,67123
2021-09-28,1091.54,54496
2017-11-09,1492.89,99188
2024-03-09,2757.61,41551
2022-06-05,4078.11,34233
2014-11-14,521.77,93766
2019-06-21,1520.69,80338
2012-08-15,4590.56,82061
