fecha,monto,referencia
2024-07-30,2829.67,34842
2024-09-20,3267.0,29036
2024-07-22,2902.39,45471
2024-11-09,4109.2,54053
2025-02-10,3614.49,97270
2024-09-24,4097.6,40872
2025-02-05,2273.03,38361
2024-08-09,1438.51,91244
2024-10-23,1327.85,12186
2024-08-15,4058.36,70438
2024-09-25,2687.38,11474
2025-03-27,1504.74,99925
2024-08-06,3295.96,42215
2024-10-04,2528.08,63709
2024-11-17,4804.52,87959
2024-08-19,2991.63,17213
2025-03-21,4359.04,71557
2025-01-14,3657.36,13927
2024-08-29,1859.95,46077
2024-10-11,1096.53,64613
2025-04-27,943.42,21074
2025-02-06,2677.45,71125
2025-03-30,787.03,53009
2025-03-24,2128.95,92771
2025-04-23,4539.11,98291
2025-01-15,810.99,83722
2025-03-22,3130.52,54204
2025-02-03,3229.72,49071
2024-09-01,152.84,32946
2024-10-24,1724.03,77695
2025-01-19,277.89,67903
2024-10-22,1729.02,30449
2024-10-14,1678.65,41908
2025-03-18,180.78,66093
2025-04-18,1749.05,23459
2024-07-27,4291.69,11240
2024-11-17,1978.05,49247
2024-12-19,2932.71,73263
2024-11-15,3293.58,32075
2024-11-20,2461.53,42018
2024-08-26,2646.43,64236
2024-09-28,2723.53,14843
2025-03-02,2139.13,91714
2024-07-03,301.64,16123
2025-02-09,653.96,27092
2024-09-28,1359.87,44902
2024-11-01,876.52,48256
2024-07-24,3896.09,77241
2025-01-11,1784.62,61222
2024-07-28,2885.95,20595
2024-10-05,4323.35,94311
2024-08-13,3226.67,19973
2024-07-24,1862.7,39071
2024-09-22,2055.89,92487
2025-02-12,3632.24,36018
2024-10-20,3436.53,24382
2025-01-31,3116.65,75492
2024-09-06,2449.13,74438
2024-07-20,1974.19,30879
2025-03-06,4942.14,70735
2024-11-24,2132.56,14477
2024-10-13,585.76,87493
2025-02-24,4946.68,66319
2024-11-08,3450.4,70922
2024-10-08,4682.7,59922
2024-12-09,4990.91,69590
2025-02-13,4571.85,54276
2025-02-07,1536.28,99430
2024-10-22,4102.0,66959
2025-04-22,3489.29,86106
2024-07-10,3280.5,88587
2024-09-06,4399.7,58552
2025-01-07,3091.82,62709
2025-01-21,1310.63,98684
2025-04-04,4037.8,73539
2024-12-26,2173.48,11600
2024-07-21,4182.67,24991
2024-07-12,2664.67,49769
2025-04-07,652.66,81969
2024-10-04,2070.3,20985
2024-09-08,2677.86,22203
2024-10-13,2713.55,15595
2024-07-30,2259.52,18120
2025-04-24,4509.22,50131
2025-01-02,1891.67,95584
2024-12-22,3354.56,16303
2024-11-24,613.41,99002
2025-02-15,1421.26,15873
2025-01-16,623.31,63913
2025-02-05,1399.25,42528
2024-12-16,2434.22,77590
2024-10-21,116.51,53070
2024-11-28,3078.71,27673
2024-09-03,1680.18,38763
2025-04-04,1607.49,29477
2024-08-14,1874.49,62079
2024-12-07,856.22,68741
2025-02-27,2333.89,85151
2025-03-09,149.89,82845
2024-10-22,634.85,86697
2025-02-04,4374.04,21404
2025-02-01,4591.31,58978
2025-03-12,130.27,47698
2024-08-17,3489.98,30848
2024-10-15,1059.67,71348
2024-09-09,1960.11,47984
2024-12-01,4754.34,20554
2025-03-16,2810.87,85714
2024-08-28,1086.58,63680
2024-11-09,461.94,62541
2024-09-28,292.25,22890
2024-07-06,294.44,97440
2025-01-08,3855.45,66211
2024-11-12,1569.11,81410
2024-09-01,3771.19,69381
2024-09-30,2565.28,73548
2025-03-18,2455.25,66520
2024-07-21,1290.27,32579
2025-03-29,4586.66,11555
2024-11-06,4869.48,31050
2024-09-18,3247.01,25367
2025-03-20,3457.39,99240
2025-03-26,338.04,37448
2025-01-22,3931.89,79836
2024-10-12,3237.95,66236
2025-02-26,4286.24,12903
2024-07-07,360.58,34343
2024-11-25,524.59,36418
2024-10-07,1185.55,78008
2025-03-06,3784.45,62530
2025-01-31,3633.47,27650
2024-08-31,2865.46,63302
2024-10-01,2886.47,88733
2024-08-01,1681.88,93769
2024-07-27,1003.32,19150
2025-03-27,3321.46,85900
2025-02-07,1671.69,58980
2025-01-07,4768.89,70138
2024-09-11,3838.88,71127
2025-02-19,718.24,26959
2025-02-26,2660.84,92013
2025-01-09,4133.81,88197
2025-01-04,1261.0,17648
2024-08-17,2754.82,24600
2024-07-20,2211.98,29789
2024-08-04,3546.44,65303
2025-03-02,3548.22,19753
2024-11-25,577.1,93559
2024-12-05,627.65,49756
2024-08-04,1638.85,96705
2025-04-24,2408.04,86678
2024-11-24,2766.99,53681
2024-10-30,3698.98,13596
2024-09-07,4238.46,54748
2024-12-27,3171.09,39742
2025-02-14,3366.53,54932
2025-04-10,1101.45,39088
2025-04-22,3080.84,25232
2024-07-21,2610.16,24318
2025-02-11,3871.16,32392
2024-10-06,3753.24,82942
2025-02-06,3939.06,25389
2025-02-11,362.05,33202
2024-09-20,4074.81,36901
2025-01-20,4599.68,25625
2024-09-22,1935.86,76531
2024-10-09,4902.55,76026
2024-07-26,4588.47,12219
2024-08-03,4608.74,76613
2024-07-29,863.9,57662
2024-11-15,1584.96,11510
2024-08-26,528.87,19632
2025-03-30,1691.36,40459
2024-11-07,1581.79,84713
2024-12-06,2521.63,86816
2024-11-26,4062.98,65193
2025-01-21,2184.69,30096
2025-02-20,2072.22,24602
2025-02-24,3816.35,53794
2024-07-04,178.59,23182
2025-03-08,1919.09,24816
2024-08-20,1386.18,93604
2024-10-27,3158.45,56443
2024-11-29,788.73,24958
2024-12-15,3753.93,59280
2024-12-22,911.11,30019
2024-08-07,605.22,50741
2024-10-07,1317.62,31289
2025-04-04,164.98,49283
2024-10-15,748.86,92628
2025-04-05,2027.68,42862
2024-10-08,1151.87,90477
2025-01-24,3390.38,41898
2025-03-29,4927.84,35379
2025-04-26,1313.33,88719
2024-12-17,4757.73,41039
2025-04-12,2438.49,79436
2024-08-25,4410.89,66072
2025-04-23,106.93,11689
2024-11-25,4146.21,57106
2024-09-15,2905.86,55785
2024-12-20,1090.51,48855
2025-04-27,3000.2,39643
2025-02-01,4162.3,88058
2024-11-12,4097.8,41219
2024-11-25,1961.9,44819
2025-01-20,3415.24,42735
2024-11-25,1329.93,85300
2025-04-21,4812.1,58193
2024-10-16,4864.36,34433
2025-01-18,867.91,28885
2025-03-05,536.85,28348
2024-08-15,4449.96,58339
2024-07-26,670.01,43934
2024-12-13,2317.07,70403
2025-02-07,2231.27,87605
2025-02-27,3288.19,25476
2024-10-04,4232.95,73999
2024-12-21,660.56,88475
2025-01-20,729.17,96595
2025-04-09,472.0,35723
2024-12-09,4360.05,11151
2025-01-27,1307.11,95538
2025-02-18,1489.06,79058
2024-12-01,1943.2,51390
2025-03-25,2560.17,87219
2024-07-25,917.21,17639
2024-12-07,251.3,81033
2024-12-22,2112.45,37773
2024-07-06,3870.24,81010
2025-03-31,2777.66,34682
2024-08-27,1045.95,82999
2025-03-19,2630.5,78294
2024-08-23,1906.9,88747
2025-03-11,640.17,72642
2025-03-25,2189.75,45675
2024-08-15,4249.88,28561
2025-04-01,4059.67,77413
2024-07-09,3413.6,58968
2024-08-22,4461.8,97246
2024-11-14,2839.16,46115
2025-04-09,2334.89,99786
2025-04-24,1829.65,54413
2024-09-15,392.39,92505
2024-10-23,2726.02,28578
2024-07-14,1629.73,35150
2024-07-15,3590.05,67721
2024-09-01,3238.1,58742
2024-07-30,2824.44,88102
2024-08-14,202.89,12050
2024-10-19,3635.74,86166
2025-01-27,3609.49,34674
2024-07-19,2503.13,97233
2024-10-24,4331.65,71049
2024-12-07,4576.18,42541
2025-01-05,4496.99,92116
2025-02-01,3165.13,52843
2025-02-19,4488.53,99877
2024-11-25,955.47,39303
2024-10-26,4450.79,11572
2025-01-10,4656.47,25427
2024-07-21,3773.09,97029
2024-07-21,1982.76,98625
2025-03-27,1712.36,13933
2024-10-13,1293.63,72634
2024-11-12,2485.69,35131
2025-04-16,2523.79,72361
2025-03-28,2726.37,75412
2024-08-13,836.39,89534
2024-11-22,2635.65,26569
2025-03-29,4977.9,33390
2025-04-20,3497.85,80884
2024-10-03,2590.67,83946
2025-02-08,3872.85,59259
2025-03-24,136.83,12454
2025-03-31,3872.48,32894
2024-10-14,208.16,80425
2024-12-09,4591.14,62962
2024-12-31,1557.96,25673
2024-08-30,840.64,42678
2025-03-09,1467.19,41940
2024-07-25,2689.73,95699
2024-07-29,3501.39,77553
2025-03-19,841.5,33436
2025-01-17,1311.04,15740
2025-04-27,4700.54,26344
2024-12-08,2473.06,28476
2024-12-05,4386.86,87232
2024-07-08,4912.98,70811
2024-07-14,1251.05,48978
2025-04-23,809.04,20592
2024-12-01,203.84,74128
2024-08-22,2344.32,10969
2024-12-10,3352.56,68861
2025-02-15,2432.73,72766
2024-11-16,489.73,34730
2024-12-24,866.57,24939
2025-04-02,834.94,47571
2025-02-20,3699.57,38755
2025-01-20,4963.26,32852
2024-08-20,4808.25,86534
2024-10-10,3517.54,62391
2024-11-23,4325.15,95571
2024-11-03,4069.76,22429
2025-02-25,2678.69,93564
2025-03-27,1095.59,96962
2024-12-19,3159.87,89729
2024-12-24,2028.72,73443
2025-02-07,4619.17,20096
2024-07-26,1025.25,14711
2024-11-15,1488.81,92179
2024-07-27,3267.45,54330
2024-10-24,2445.06,95423
2024-10-15,4672.12,22589
2024-10-19,845.93,60106
2024-08-23,4434.61,41211
2024-08-22,3522.22,10730
2024-09-27,2252.37,21335
2025-02-08,4704.4,67928
2025-04-08,3863.85,63512
2025-04-21,4669.89,76307
2024-09-08,4108.27,79710
2024-11-27,4561.17,50890
2025-03-25,2467.24,20006
2024-11-26,388.98,38394
2024-11-30,4766.05,64520
2024-09-01,4158.57,21749
2025-02-07,2792.74,21627
2024-08-28,941.7,50686
2024-11-11,909.25,13213
2025-02-19,963.25,86608
2025-02-10,2485.69,91629
2024-10-06,4855.49,25871
2024-07-11,1777.17,36357
2024-07-24,4954.59,38964
2024-11-10,1104.43,71836
2025-02-18,160.43,34463
2025-02-11,4487.46,93173
2024-11-21,2044.46,65582
2025-03-20,2817.6,93046
2024-08-29,2591.24,69115
2025-02-13,2430.64,84719
2024-11-21,4858.62,39170
2025-03-24,3185.08,26429
2024-12-16,203.98,65374
2024-12-24,3512.82,50360
2024-07-21,4643.91,63973
2025-01-21,919.07,94959
2024-12-26,2386.55,39119
2024-07-29,1874.96,52726
2024-10-15,1227.41,26564
2024-10-20,1168.45,84826
2024-10-31,2171.17,71534
2024-12-05,2937.75,63099
2024-12-23,714.51,77243
2024-09-12,382.67,41995
2024-07-26,2523.31,30151
2024-10-20,733.49,89061
2025-02-13,3131.06,86180
2024-08-06,3456.43,88585
2024-10-16,4060.24,89554
2024-12-12,3699.08,45530
2025-04-25,2085.14,74681
2025-02-16,3254.49,91849
2024-11-02,3425.28,31125
2024-10-31,2238.32,98131
2025-02-12,859.31,91076
2024-09-21,3947.31,56068
2024-10-28,2223.94,57685
2025-02-17,410.15,83124
2025-01-30,461.01,79638
2025-01-11,218.64,68015
2025-03-12,1510.14,66002
2025-01-03,2376.0,94280
2024-11-08,4207.17,95847
2024-10-09,1306.75,23525
2024-12-29,3446.42,82961
2024-10-16,4681.53,69893
2025-03-13,2942.05,28805
2024-10-03,1251.49,20173
2024-12-07,1799.33,21108
2024-11-14,2118.35,64260
2024-07-20,1744.33,99097
2024-09-20,4496.22,49672
2025-02-06,4917.9,94487
2025-04-24,1031.44,23650
2025-01-03,1047.89,94263
2025-04-18,978.03,74731
2024-10-24,2867.36,64502
2024-11-21,294.57,81519
2025-03-08,3734.5,63177
2024-10-05,4280.85,38754
2024-09-07,411.43,74983
2024-12-01,2523.43,45845
2024-10-10,480.12,14121
2025-04-24,446.09,53957
2024-07-15,2624.46,30627
2025-01-26,3094.68,58841
2024-08-22,748.13,19972
2024-08-14,1941.68,80408
2025-04-04,1505.78,26632
2025-01-03,1752.06,95366
2024-07-25,4436.22,36649
2024-07-06,299.28,11886
2024-10-09,1374.7,83018
2024-11-22,4109.59,51982
2025-02-13,1525.25,92406
2024-11-02,1998.65,93298
2025-01-04,913.56,91995
2024-09-14,617.1,27928
2025-01-24,1077.45,76196
2025-01-22,2013.35,57951
2024-08-18,4421.16,64180
2024-11-04,2134.91,61107
2024-08-13,4564.42,94997
2025-02-27,697.61,78991
2025-01-06,1409.48,52458
2024-07-02,2675.03,83983
2025-03-20,1264.92,73798
2024-09-01,873.0,27735
2024-11-25,3590.49,28226
2024-12-03,2879.78,77741
2025-04-03,4855.86,67296
2025-04-18,1368.22,40018
2025-01-24,3421.54,81739
2024-09-20,2847.94,90139
2025-02-16,298.22,36556
2025-03-18,1619.09,95205
2025-03-19,799.23,91772
2024-10-11,4427.16,59008
2024-10-04,3101.36,80537
2024-11-04,4423.76,12591
2025-04-15,1103.24,57983
2025-04-28,874.58,26223
2024-12-09,833.24,77507
2024-11-01,2846.91,61396
2024-11-23,2458.62,26455
2024-12-04,1372.2,38734
2024-11-18,3197.07,83082
2025-02-26,3755.17,25558
2024-10-15,2321.04,14972
2025-03-28,645.96,38219
2025-03-05,2712.63,92601
2024-07-07,594.79,73555
2024-10-17,4126.73,40599
2024-10-15,1175.63,19204
2024-07-09,4874.12,89813
2024-12-01,4423.32,97656
2025-03-26,258.34,44185
2025-01-09,874.64,70707
2025-03-19,1505.46,73301
2025-03-24,2164.14,22548
2024-08-26,3477.89,46119
2025-01-05,3984.55,39208
2024-10-02,4799.1,52048
2024-08-10,4135.31,14290
2024-10-22,584.71,44057
2024-08-10,4040.39,44100
2024-11-01,4675.12,59174
2024-07-13,1844.12,64711
2024-09-13,832.06,88666
2025-03-05,3637.49,37674
2025-03-23,3199.28,66185
2025-01-19,2090.52,96181
2024-12-18,2814.5,89170
2024-09-19,2720.66,62763
2024-10-23,4818.23,82777
2025-03-14,3044.16,81355
2025-03-17,556.36,17710
2024-12-17,2043.37,26636
2025-01-05,4006.12,52645
2024-07-31,3154.86,72261
2025-02-20,616.35,60504
2024-07-27,2025.69,65123
2024-12-25,472.88,68922
2024-08-31,1068.76,99441
2024-07-29,331.98,59830
2025-04-15,4305.85,29777
2025-03-16,2407.94,27657
2025-01-02,1552.99,52207
2024-08-19,657.07,14236
2024-10-07,2367.0,44240
2025-01-31,234.59,91721
2024-09-07,2030.18,63120
2025-02-25,824.89,62457
2024-09-23,4156.5,81224
2024-08-07,4743.26,49596
2025-03-31,2344.27,17032
2025-04-13,1710.47,61604
2025-02-08,2170.29,28626
2024-09-11,2117.29,93433
2024-10-18,4870.31,86941
2024-07-21,2559.36,54593
2024-07-03,2218.81,93887
2025-02-11,2050.69,45550
2024-12-05,511.54,41544
2025-01-29,4649.62,46330
2024-12-08,661.97,50274
2025-02-18,1902.5,71839
2024-09-26,2010.59,88475
2025-04-03,1428.7,16429
2024-07-18,3107.16,84566
2025-02-14,1367.86,85984
2024-09-21,630.0,56214
2024-12-09,604.1,31700
2025-03-29,701.97,42679
2024-07-21,1487.54,41333
2024-07-27,3693.96,84593
2024-08-03,192.54,99820
2025-02-08,2829.6,66901
2024-09-01,296.96,65813
2024-08-03,539.57,49470
2024-09-27,973.65,28952
2024-12-22,662.04,95895
2024-10-25,4916.11,42276
2025-02-10,2454.01,38035
2025-01-28,2726.06,54778
2025-04-12,400.7,51108
2025-01-26,4988.0,24995
2024-09-19,4505.05,74234
2024-09-18,3808.44,31847
2025-03-29,1319.26,66715
2024-09-19,4859.2,86711
2025-04-16,2339.72,52396
2024-11-15,1604.27,23678
2024-12-13,2174.4,74778
2024-08-10,2571.45,34276
2024-11-29,4530.43,20541
2024-12-28,3928.57,37433
2024-12-30,2190.17,27463
